Pfad;Name;Dateityp;BreiteHoehe;Seitenverhaeltnis;Alpha;GroesseBytes;SHA256;Kategorie;State;Zielkomponente;Duplikatgruppe;InV2Verwendet;SpaeterNutzbar
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_offline.png;Leaderboard_offline.png;.png;980x840;1.166667;JA;11643;67A625D6B46B1C431CD8C4B63411F163EF07BC60DDFA0CC4336C4F7A1C90BF21;PANEL;OFFLINE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_warning.paa;Leaderboard_warning.paa;.paa;;;NEIN;257744;B31440FFDCD12B1C1EDCE819454A374BEEA057F0307F5A63E4748457640249FA;PANEL;WARNING;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_warning.png;Leaderboard_warning.png;.png;980x840;1.166667;JA;14577;7D1F4F79B7647131885F97C8AEAB0A5E6F9476F94FF49376C948AA8887CC0951;PANEL;WARNING;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_active.paa;Main_Left_active.paa;.paa;;;NEIN;318485;229FADB69B2AF3A6E75BC4586E3892DC1E28A7A6613FB90DB78FC059316D9210;NAVIGATION;ACTIVE;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_active.png;Main_Left_active.png;.png;760x1320;0.575758;JA;18984;42EF33BE6366EE68DF845C38B9D939BF817A89DABFD092810E5D94F4E7FC66DF;NAVIGATION;ACTIVE;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_active.paa;Main_Left_Compact_active.paa;.paa;;;NEIN;213229;97C797B5B456F3EFC73AC31436D89FA750BA7BDBC8DC05593B4691F349AF8F9F;NAVIGATION;ACTIVE;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_active.png;Main_Left_Compact_active.png;.png;640x1040;0.615385;JA;16258;872A4BA0C8854F6041DB87130A37CA06DE44991FA000B76CEEC5BEC6A4A3EED1;NAVIGATION;ACTIVE;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_disabled.paa;Main_Left_Compact_disabled.paa;.paa;;;NEIN;211712;D6DF307E632118267F1FAE5793FA9A9D2657E3CD8A484787C727CA6BDEED7770;NAVIGATION;DISABLED;UI-State-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_disabled.png;Main_Left_Compact_disabled.png;.png;640x1040;0.615385;JA;13680;E7CFC9BA74226FCAE5FF971D606C7D19A212D5EA8161BC6446B12AF090A8A036;NAVIGATION;DISABLED;UI-State-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Main_Left_Compact_normal.paa;Main_Left_Compact_normal.paa;.paa;;;NEIN;212002;CAA1B080020C3BDD767835030EC714068E4E8C9ACC4A2E18324116D2FC15363B;NAVIGATION;NORMAL;UI-State-Reserve;;NEIN;NEIN
